ID	age	sex	investigator	location	shockamplitude	roomtemperature	counterbalance	opponent	trialnr	blink	blinktime	click_check	shock_check	shock_count	shock_ratio	current_time	coreTrialStart	RT	accuracy	marker	iti	ind_time	cond_threat_count	shock_threat_count	startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:56.275182	4118.593	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:56.389874	4118.718	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:56.503570	4118.828	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:56.618265	4118.937	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:56.732957	4119.062	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:56.847652	4119.171	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:56.961348	4119.281	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:57.075042	4119.39	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:57.186745	4119.515	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:57.300441	4119.625	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:57.415135	4119.734	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:57.529828	4119.859	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:57.643559	4119.968	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:57.757219	4120.078	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:57.888867	4120.218	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:58.003561	4120.328	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:58.116260	4120.437	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:58.230952	4120.546	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:58.345645	4120.671	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:58.459341	4120.781	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:58.574036	4120.89	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:58.687731	4121.015	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:58.802427	4121.125	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:58.916120	4121.234	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.029816	4121.359	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.140520	4121.468	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.254217	4121.578	0	0	anticipation	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.257209	4121.578	0	0	guy	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.273165	4121.593	0	0	guy	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.289123	4121.609	0	0	guy	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.306077	4121.625	0	0	guy	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.323032	4121.64	0	0	guy	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.339987	4121.656	0	0	guy	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.356942	4121.687	0	0	guy	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.373901	4121.703	0	0	guy	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.389858	4121.718	0	0	guy	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.406817	4121.734	0	0	guy	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.423773	4121.75	0	0	guy	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.439729	4121.765	0	0	guy	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.456684	4121.781	0	0	guy	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.473638	4121.796	0	0	guy	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.490594	4121.812	0	0	guy	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.506553	4121.828	0	0	guy	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.523513	4121.843	0	0	guy	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.540466	4121.859	0	0	guy	3	0.5	0	0	dot_startle
41	26	female	8	Probraum	5.5	20	2	phonemanbw	ex	black.PNG	60	0	0	0	0	03/22/22:12:51:59.556423	4121.875	0	0	guy	3	0.5	0	0	dot_startle
